date,amount,category,description
2026-03-09,8618.12,SaaS subscriptions,SaaS subscriptions — 09 Mar
2026-03-09,6179.15,Consulting fees,Consulting fees — 09 Mar
2026-03-09,-7725.46,Payroll,Payroll — 09 Mar
2026-03-09,-1865.41,Marketing,Marketing — 09 Mar
2026-03-09,-1341.32,Infrastructure,Infrastructure — 09 Mar
2026-03-09,831.8,Misc income,Misc income — 09 Mar
2026-03-10,10356.64,SaaS subscriptions,SaaS subscriptions — 10 Mar
2026-03-10,4829.21,Consulting fees,Consulting fees — 10 Mar
2026-03-10,-7876.4,Payroll,Payroll — 10 Mar
2026-03-10,-1412.05,Marketing,Marketing — 10 Mar
2026-03-10,-974.95,Infrastructure,Infrastructure — 10 Mar
2026-03-10,661.75,Misc income,Misc income — 10 Mar
2026-03-11,8824.32,SaaS subscriptions,SaaS subscriptions — 11 Mar
2026-03-11,6133.26,Consulting fees,Consulting fees — 11 Mar
2026-03-11,-8002.32,Payroll,Payroll — 11 Mar
2026-03-11,-2671.59,Marketing,Marketing — 11 Mar
2026-03-11,-1327.69,Infrastructure,Infrastructure — 11 Mar
2026-03-11,258.71,Misc income,Misc income — 11 Mar
2026-03-12,8805.0,SaaS subscriptions,SaaS subscriptions — 12 Mar
2026-03-12,5091.25,Consulting fees,Consulting fees — 12 Mar
2026-03-12,-7709.79,Payroll,Payroll — 12 Mar
2026-03-12,-10233.44,Marketing,Marketing — 12 Mar
2026-03-12,-1095.08,Infrastructure,Infrastructure — 12 Mar
2026-03-12,156.78,Misc income,Misc income — 12 Mar
2026-03-13,8926.39,SaaS subscriptions,SaaS subscriptions — 13 Mar
2026-03-13,5422.81,Consulting fees,Consulting fees — 13 Mar
2026-03-13,-7521.59,Payroll,Payroll — 13 Mar
2026-03-13,-1319.53,Marketing,Marketing — 13 Mar
2026-03-13,-1008.87,Infrastructure,Infrastructure — 13 Mar
2026-03-13,707.6,Misc income,Misc income — 13 Mar
2026-03-14,8083.77,SaaS subscriptions,SaaS subscriptions — 14 Mar
2026-03-14,5785.76,Consulting fees,Consulting fees — 14 Mar
2026-03-14,-8381.78,Payroll,Payroll — 14 Mar
2026-03-14,-1371.32,Marketing,Marketing — 14 Mar
2026-03-14,-969.83,Infrastructure,Infrastructure — 14 Mar
2026-03-14,643.09,Misc income,Misc income — 14 Mar
2026-03-15,9823.49,SaaS subscriptions,SaaS subscriptions — 15 Mar
2026-03-15,5008.07,Consulting fees,Consulting fees — 15 Mar
2026-03-15,-8266.94,Payroll,Payroll — 15 Mar
2026-03-15,-1153.67,Marketing,Marketing — 15 Mar
2026-03-15,-921.64,Infrastructure,Infrastructure — 15 Mar
2026-03-15,698.76,Misc income,Misc income — 15 Mar
