date,amount,category,description
2026-02-16,10043.64,SaaS subscriptions,SaaS subscriptions — 16 Feb
2026-02-16,7163.73,Consulting fees,Consulting fees — 16 Feb
2026-02-16,-7876.1,Payroll,Payroll — 16 Feb
2026-02-16,-1386.62,Marketing,Marketing — 16 Feb
2026-02-16,-908.82,Infrastructure,Infrastructure — 16 Feb
2026-02-16,723.24,Misc income,Misc income — 16 Feb
2026-02-17,7403.31,SaaS subscriptions,SaaS subscriptions — 17 Feb
2026-02-17,4277.46,Consulting fees,Consulting fees — 17 Feb
2026-02-17,-7914.09,Payroll,Payroll — 17 Feb
2026-02-17,-1771.45,Marketing,Marketing — 17 Feb
2026-02-17,-1259.96,Infrastructure,Infrastructure — 17 Feb
2026-02-17,453.15,Misc income,Misc income — 17 Feb
2026-02-18,8577.15,SaaS subscriptions,SaaS subscriptions — 18 Feb
2026-02-18,5649.54,Consulting fees,Consulting fees — 18 Feb
2026-02-18,-7426.91,Payroll,Payroll — 18 Feb
2026-02-18,-1944.86,Marketing,Marketing — 18 Feb
2026-02-18,-1211.58,Infrastructure,Infrastructure — 18 Feb
2026-02-18,1396.89,Misc income,Misc income — 18 Feb
2026-02-19,8803.39,SaaS subscriptions,SaaS subscriptions — 19 Feb
2026-02-19,5569.58,Consulting fees,Consulting fees — 19 Feb
2026-02-19,-8209.36,Payroll,Payroll — 19 Feb
2026-02-19,-1799.48,Marketing,Marketing — 19 Feb
2026-02-19,-1337.65,Infrastructure,Infrastructure — 19 Feb
2026-02-19,609.84,Misc income,Misc income — 19 Feb
2026-02-20,8820.77,SaaS subscriptions,SaaS subscriptions — 20 Feb
2026-02-20,6738.57,Consulting fees,Consulting fees — 20 Feb
2026-02-20,-8056.07,Payroll,Payroll — 20 Feb
2026-02-20,-1769.35,Marketing,Marketing — 20 Feb
2026-02-20,-910.93,Infrastructure,Infrastructure — 20 Feb
2026-02-20,841.49,Misc income,Misc income — 20 Feb
2026-02-21,8659.27,SaaS subscriptions,SaaS subscriptions — 21 Feb
2026-02-21,6434.75,Consulting fees,Consulting fees — 21 Feb
2026-02-21,-7918.92,Payroll,Payroll — 21 Feb
2026-02-21,-2180.65,Marketing,Marketing — 21 Feb
2026-02-21,-1131.81,Infrastructure,Infrastructure — 21 Feb
2026-02-21,771.99,Misc income,Misc income — 21 Feb
2026-02-22,9333.46,SaaS subscriptions,SaaS subscriptions — 22 Feb
2026-02-22,4627.4,Consulting fees,Consulting fees — 22 Feb
2026-02-22,-7742.38,Payroll,Payroll — 22 Feb
2026-02-22,-1499.99,Marketing,Marketing — 22 Feb
2026-02-22,-1567.27,Infrastructure,Infrastructure — 22 Feb
2026-02-22,687.75,Misc income,Misc income — 22 Feb
