date,amount,category,description
2026-02-23,11243.62,SaaS subscriptions,SaaS subscriptions — 23 Feb
2026-02-23,5051.43,Consulting fees,Consulting fees — 23 Feb
2026-02-23,-7969.96,Payroll,Payroll — 23 Feb
2026-02-23,-1777.08,Marketing,Marketing — 23 Feb
2026-02-23,-1321.82,Infrastructure,Infrastructure — 23 Feb
2026-02-23,313.68,Misc income,Misc income — 23 Feb
2026-02-24,8097.4,SaaS subscriptions,SaaS subscriptions — 24 Feb
2026-02-24,4962.83,Consulting fees,Consulting fees — 24 Feb
2026-02-24,-7550.1,Payroll,Payroll — 24 Feb
2026-02-24,-1352.64,Marketing,Marketing — 24 Feb
2026-02-24,-1033.05,Infrastructure,Infrastructure — 24 Feb
2026-02-24,632.34,Misc income,Misc income — 24 Feb
2026-02-25,7535.2,SaaS subscriptions,SaaS subscriptions — 25 Feb
2026-02-25,6136.3,Consulting fees,Consulting fees — 25 Feb
2026-02-25,-7700.71,Payroll,Payroll — 25 Feb
2026-02-25,-343.8,Marketing,Marketing — 25 Feb
2026-02-25,-1398.0,Infrastructure,Infrastructure — 25 Feb
2026-02-25,602.32,Misc income,Misc income — 25 Feb
2026-02-26,7721.88,SaaS subscriptions,SaaS subscriptions — 26 Feb
2026-02-26,5982.68,Consulting fees,Consulting fees — 26 Feb
2026-02-26,-7922.84,Payroll,Payroll — 26 Feb
2026-02-26,-1736.91,Marketing,Marketing — 26 Feb
2026-02-26,-959.76,Infrastructure,Infrastructure — 26 Feb
2026-02-26,769.03,Misc income,Misc income — 26 Feb
2026-02-27,6814.36,SaaS subscriptions,SaaS subscriptions — 27 Feb
2026-02-27,7157.77,Consulting fees,Consulting fees — 27 Feb
2026-02-27,-7495.56,Payroll,Payroll — 27 Feb
2026-02-27,-1625.75,Marketing,Marketing — 27 Feb
2026-02-27,-1146.96,Infrastructure,Infrastructure — 27 Feb
2026-02-27,776.84,Misc income,Misc income — 27 Feb
2026-02-28,8289.61,SaaS subscriptions,SaaS subscriptions — 28 Feb
2026-02-28,6197.17,Consulting fees,Consulting fees — 28 Feb
2026-02-28,-6818.66,Payroll,Payroll — 28 Feb
2026-02-28,-1614.08,Marketing,Marketing — 28 Feb
2026-02-28,-1080.83,Infrastructure,Infrastructure — 28 Feb
2026-02-28,553.27,Misc income,Misc income — 28 Feb
2026-03-01,10172.19,SaaS subscriptions,SaaS subscriptions — 01 Mar
2026-03-01,4607.54,Consulting fees,Consulting fees — 01 Mar
2026-03-01,-7796.27,Payroll,Payroll — 01 Mar
2026-03-01,-785.54,Marketing,Marketing — 01 Mar
2026-03-01,-1173.46,Infrastructure,Infrastructure — 01 Mar
2026-03-01,211.36,Misc income,Misc income — 01 Mar
